Package            Version   Latest    Type
------------------ --------- --------- -----
attrs              21.2.0    25.3.0    wheel
Automat            20.2.0    25.4.16   wheel
Babel              2.8.0     2.17.0    wheel
bcrypt             3.2.0     4.3.0     wheel
certifi            2020.6.20 2025.4.26 wheel
chardet            4.0.0     5.2.0     wheel
click              8.2.0     8.2.1     wheel
colorama           0.4.4     0.4.6     wheel
configobj          5.0.6     5.0.9     wheel
constantly         15.1.0    23.10.4   wheel
cryptography       3.4.8     45.0.3    wheel
dbus-python        1.2.18    1.4.0     sdist
distro             1.7.0     1.9.0     wheel
docker             5.0.3     7.1.0     wheel
httplib2           0.20.2    0.22.0    wheel
idna               3.3       3.10      wheel
importlib-metadata 4.6.4     8.7.0     wheel
incremental        21.3.0    24.7.2    wheel
ipython            8.12.3    8.37.0    wheel
jeepney            0.7.1     0.9.0     wheel
jsonpatch          1.32      1.33      wheel
jsonpointer        2.0       3.0.0     wheel
jsonschema         3.2.0     4.24.0    wheel
keyring            23.5.0    25.6.0    wheel
launchpadlib       1.10.16   2.1.0     wheel
lazr.restfulclient 0.14.4    0.14.6    wheel
lazr.uri           1.0.6     1.0.7     wheel
more-itertools     8.10.0    10.7.0    wheel
oauthlib           3.2.0     3.2.2     wheel
pyasn1             0.4.8     0.6.1     wheel
pyasn1-modules     0.2.1     0.4.2     wheel
pycurl             7.44.1    7.45.6    wheel
PyGObject          3.42.1    3.52.3    sdist
PyHamcrest         2.0.2     2.1.0     wheel
PyJWT              2.3.0     2.10.1    wheel
pyOpenSSL          21.0.0    25.1.0    wheel
pyparsing          2.4.7     3.2.3     wheel
pyrsistent         0.18.1    0.20.0    wheel
python-dotenv      0.19.2    1.1.0     wheel
pytz               2022.1    2025.2    wheel
PyYAML             5.4.1     6.0.2     wheel
redis              6.1.0     6.2.0     wheel
requests           2.25.1    2.32.3    wheel
rich               13.9.4    14.0.0    wheel
SecretStorage      3.3.1     3.3.3     wheel
service-identity   18.1.0    24.2.0    wheel
setuptools         59.6.0    80.9.0    wheel
six                1.16.0    1.17.0    wheel
systemd-python     234       235       sdist
texttable          1.6.4     1.7.0     wheel
Twisted            22.1.0    24.11.0   wheel
typing_extensions  4.13.2    4.14.0    wheel
urllib3            1.26.5    2.4.0     wheel
wadllib            1.3.6     2.0.0     wheel
websocket-client   1.2.3     1.8.0     wheel
wheel              0.37.1    0.45.1    wheel
yarg               0.1.9     0.1.10    wheel
zipp               1.0.0     3.22.0    wheel
zope.interface     5.4.0     7.2       wheel
